altitude,azimuth,power
-39.75349644465132,84.8121805746998,0
-28.73922489281789,95.01382829058358,0
-17.87936608681005,104.40385949526978,0
-7.46386208630228,113.78557275752385,23
2.2032990876859806,123.73672766613416,1016
10.751638713491854,134.7262407302012,2749
17.71763684355937,147.0986414584342,4395
22.56564654599185,160.93927951945747,4991
24.7958519907926,175.88499039974494,4731
24.131428286473252,191.10170872664906,3984
20.658383294359112,205.62182695262024,2499
14.779371276079596,218.80749137232164,1014
7.030409211171363,230.52081694642544,133
-2.0783402322793516,240.989612788928,29
-12.126800653616012,250.6258828417744,29
-22.779701674874822,259.94426041175353,29
-33.74758280455794,269.60389863364117,29
-44.71993283983302,280.60623810846704,29
-55.22680342566207,294.8021005611316,29
-64.26758331088914,315.962559877147,29
-69.46795409256265,349.18809669498205,1
